15382:   python3 /home/yuance/Work/Trianglecounting/undirected_global.py 1000 1000 10 0.3 0.1
Address           Kbytes     RSS   Dirty Mode  Mapping
0000000000400000    3792       4       0 r-x-- python3.6
0000000000400000       0       0       0 r-x-- python3.6
00000000009b3000       4       0       0 r---- python3.6
00000000009b3000       0       0       0 r---- python3.6
00000000009b4000     628      96      96 rw--- python3.6
00000000009b4000       0       0       0 rw--- python3.6
0000000000a51000     204      16      16 rw---   [ anon ]
0000000000a51000       0       0       0 rw---   [ anon ]
0000000001f72000 49402708 36707920 33990424 rw---   [ anon ]
0000000001f72000       0       0       0 rw---   [ anon ]
00007f8e657ea000  663296  663276  661152 rw---   [ anon ]
00007f8e657ea000       0       0       0 rw---   [ anon ]
00007f8e8dfaa000    5968       0       0 rw---   [ anon ]
00007f8e8dfaa000       0       0       0 rw---   [ anon ]
00007f8e8e57e000 10486784 10486784 9357248 rw---   [ anon ]
00007f8e8e57e000       0       0       0 rw---   [ anon ]
00007f910e67e000  414140       0       0 rw---   [ anon ]
00007f910e67e000       0       0       0 rw---   [ anon ]
00007f9127aed000 4429056 4429056 4014112 rw---   [ anon ]
00007f9127aed000       0       0       0 rw---   [ anon ]
00007f923602d000   55920       0       0 rw---   [ anon ]
00007f923602d000       0       0       0 rw---   [ anon ]
00007f92396c9000 11639040 11639040 9262320 rw---   [ anon ]
00007f92396c9000       0       0       0 rw---   [ anon ]
00007f94ffd09000  229820       0       0 rw---   [ anon ]
00007f94ffd09000       0       0       0 rw---   [ anon ]
00007f950dd78000 3833088 3833088 3775864 rw---   [ anon ]
00007f950dd78000       0       0       0 rw---   [ anon ]
00007f95f7cb8000   98308       0       0 rw---   [ anon ]
00007f95f7cb8000       0       0       0 rw---   [ anon ]
00007f95fdcb9000 3112960 3112960 3053828 rw---   [ anon ]
00007f95fdcb9000       0       0       0 rw---   [ anon ]
00007f96bbce7000 7879424 7879424 7769344 rw---   [ anon ]
00007f96bbce7000       0       0       0 rw---   [ anon ]
00007f989cbe6000 6451712 6451592 6443788 rw---   [ anon ]
00007f989cbe6000       0       0       0 rw---   [ anon ]
00007f9a26871000 9553152 9552744 9552744 rw---   [ anon ]
00007f9a26871000       0       0       0 rw---   [ anon ]
00007f9c6d9f0000 8123648 8123304 7577628 rw---   [ anon ]
00007f9c6d9f0000       0       0       0 rw---   [ anon ]
00007f9e5d74b000 4423168 4419836 4006936 rw---   [ anon ]
00007f9e5d74b000       0       0       0 rw---   [ anon ]
00007f9f6b6d8000 5240320 2963768 2728688 rw---   [ anon ]
00007f9f6b6d8000       0       0       0 rw---   [ anon ]
00007fa0ab47e000 8984064 3048364 2854032 rw---   [ anon ]
00007fa0ab47e000       0       0       0 rw---   [ anon ]
00007fa2cfa12000 7175936 3029396 2615004 rw---   [ anon ]
00007fa2cfa12000       0       0       0 rw---   [ anon ]
00007fa4859ea000 4198912 1469712 1433464 rw---   [ anon ]
00007fa4859ea000       0       0       0 rw---   [ anon ]
00007fa585e76000 4880640 2357684 2316184 rw---   [ anon ]
00007fa585e76000       0       0       0 rw---   [ anon ]
00007fa6afcd1000 7495424 5260560 5260560 rw---   [ anon ]
00007fa6afcd1000       0       0       0 rw---   [ anon ]
00007fa8794b1000 7266816 5824936 5824936 rw---   [ anon ]
00007fa8794b1000       0       0       0 rw---   [ anon ]
00007faa34d54000 2645248 1679424 1679424 rw---   [ anon ]
00007faa34d54000       0       0       0 rw---   [ anon ]
00007faad64d0000 5197056 3078744 3078724 rw---   [ anon ]
00007faad64d0000       0       0       0 rw---   [ anon ]
